,AGENCY,TYPE,STREET NAME,POSTCODE,LIVING_AREA,ROOMS,LONGITUDE,LATITUDE,PRICE_LOG
0,2.0,1.0,Brucknerplein,5653,57.0,2.0,51.4392648,5.478633,7.824046010856292
1,2.0,2.0,vanKinsbergenstraat,5612,18.0,1.0,51.4392648,5.478633,7.313220387090301
2,2.0,1.0,DrCuyperslaan,5623,50.0,2.0,51.4392648,5.478633,7.919356190660617
3,2.0,3.0,RodeHeikorstlaan6,5646,89.0,5.0,51.4392648,5.478633,8.37793112408273
4,2.0,1.0,Kastelenplein143,5653,55.0,2.0,51.4392648,5.478633,7.549609165154532
5,2.0,1.0,StEligiuspad11,5645,70.0,3.0,51.4392648,5.478633,8.006367567650246
6,2.0,1.0,Gestelsestraat,5615,80.0,3.0,51.4392648,5.478633,7.673223121121708
7,2.0,1.0,Boutenslaan,5654,22.0,1.0,51.4392648,5.478633,6.956545443151569
8,2.0,1.0,Boutenslaan,5654,22.0,1.0,51.4392648,5.478633,6.956545443151569
9,2.0,1.0,Boutenslaan,5654,22.0,1.0,51.4392648,5.478633,7.313220387090301
10,2.0,1.0,Boutenslaan,5654,22.0,1.0,51.4392648,5.478633,7.313220387090301
11,2.0,1.0,VeldmaarschalkMontgomerylaan,5612,121.0,3.0,51.4392648,5.478633,7.824046010856292
12,2.0,1.0,Ampèrestraat,5621,21.0,1.0,51.4392648,5.478633,7.003065458786462
13,2.0,1.0,Scottlaan,5623,141.0,3.0,51.4392648,5.478633,8.202482446576537
14,2.0,2.0,Musschenbroekstraat,5621,13.0,1.0,51.4392648,5.478633,6.461468176353717
15,2.0,1.0,Bomanshof,5611,100.0,3.0,51.4392648,5.478633,7.955074273262696
16,2.0,1.0,KleineBerg,5611,45.0,2.0,51.4392648,5.478633,7.600902459542082
17,2.0,3.0,vanBergeijkstraat,5611,102.0,3.0,51.4392648,5.478633,8.006367567650246
18,2.0,3.0,StRochusstraat,5611,124.0,4.0,51.4392648,5.478633,8.160518247477505
19,2.0,3.0,vanBergeijkstraat,5611,102.0,3.0,51.4392648,5.478633,7.824046010856292
20,2.0,1.0,Philitelaan67200,5617,84.0,3.0,51.4392648,5.478633,7.600902459542082
21,2.0,1.0,Philitelaan67201,5617,84.0,3.0,51.4392648,5.478633,7.600902459542082
22,2.0,3.0,PastoorSickingstraat,5614,130.0,9.0,51.4392648,5.478633,7.696212639346407
23,2.0,1.0,Gestelsestraat,5615,125.0,3.0,51.4392648,5.478633,7.824046010856292
24,2.0,3.0,Zandkrab,5658,159.0,5.0,51.4392648,5.478633,8.022896869601457
25,2.0,1.0,Pisanostraat,5623,100.0,4.0,51.4392648,5.478633,7.824046010856292
26,2.0,1.0,Pisanostraat,5623,115.0,3.0,51.4392648,5.478633,7.575584651557793
27,2.0,1.0,Gestelsestraat,5615,80.0,3.0,51.4392648,5.478633,7.673223121121708
28,2.0,2.0,Koenraadlaan1045,5651,20.0,1.0,51.4392648,5.478633,7.1308988302963465
29,2.0,3.0,Patrijsstraat,5613,135.0,5.0,51.4392648,5.478633,8.400659375160286
30,2.0,1.0,Geldropseweg,5611,29.0,1.0,51.4392648,5.478633,6.807934943699926
31,2.0,1.0,Geldropseweg,5611,29.0,1.0,51.4392648,5.478633,6.807934943699926
32,2.0,1.0,Genovevalaan,5625,65.0,2.0,51.4392648,5.478633,7.600902459542082
33,2.0,2.0,vanKinsbergenstraat,5612,18.0,1.0,51.4392648,5.478633,7.313220387090301
34,2.0,1.0,Geldropseweg,5611,29.0,1.0,51.4392648,5.478633,7.313220387090301
35,2.0,1.0,Geldropseweg,5611,29.0,1.0,51.4392648,5.478633,6.807934943699926
36,2.0,1.0,Hertogstraat92,5611,82.0,2.0,51.4392648,5.478633,7.600902459542082
37,2.0,1.0,Hertogstraat80,5611,105.0,3.0,51.4392648,5.478633,8.006367567650246
38,2.0,2.0,Pioenroosstraat,5644,14.0,1.0,51.4392648,5.478633,6.396929655216146
39,2.0,2.0,Wattstraat,5621,12.0,1.0,51.4392648,5.478633,6.745236349484363
40,2.0,2.0,Musschenbroekstraat,5621,12.0,1.0,51.4392648,5.478633,6.745236349484363
41,2.0,1.0,PieterBreughelstraat,5613,25.0,1.0,51.4392648,5.478633,7.047517221357296
42,2.0,2.0,Schootsestraat,5616,12.0,1.0,51.4392648,5.478633,6.396929655216146
43,2.0,2.0,Wattstraat,5621,16.0,6.0,51.4392648,5.478633,6.551080335043404
44,2.0,2.0,Tongelresestraat,5642,14.0,1.0,51.4392648,5.478633,6.745236349484363
45,2.0,2.0,Pioenroosstraat,5644,12.0,1.0,51.4392648,5.478633,6.09807428216624
46,2.0,2.0,Nansenstraat,5623,15.0,6.0,51.4392648,5.478633,6.22455842927536
47,2.0,1.0,Boschdijk,5612,11.0,1.0,51.4392648,5.478633,7.047517221357296
48,2.0,2.0,Kloosterdreef,5612,12.0,1.0,51.4392648,5.478633,6.907755278982137
49,2.0,2.0,Bennekelstraat,5654,16.0,4.0,51.4392648,5.478633,6.551080335043404
50,2.0,2.0,Bennekelstraat,5654,12.0,1.0,51.4392648,5.478633,6.756932389247553
51,2.0,2.0,Bennekelstraat,5654,10.0,1.0,51.4392648,5.478633,6.396929655216146
52,2.0,1.0,StSeverusstraat,5616,27.0,1.0,51.4392648,5.478633,7.346010209913293
53,2.0,3.0,Scheidingstraat114,5654,120.0,4.0,51.4392648,5.478633,7.600902459542082
54,2.0,1.0,Minckelersstraat,5621,35.0,3.0,51.4392648,5.478633,7.313220387090301
55,2.0,3.0,RoaldDahllaan,5629,133.0,5.0,51.4392648,5.478633,7.824046010856292
56,2.0,2.0,Heezerweg815,5614,15.0,1.0,51.4392648,5.478633,7.2078598714324755
57,2.0,3.0,StTheresiaplein,5652,161.0,5.0,51.4392648,5.478633,7.824046010856292
58,2.0,2.0,StJorislaan,5611,9.0,1.0,51.4392648,5.478633,6.807934943699926
59,2.0,1.0,Melkweg,5642,28.0,1.0,51.4392648,5.478633,6.956545443151569
60,2.0,1.0,Boutenslaan,5644,75.0,3.0,51.4392648,5.478633,7.824046010856292
61,2.0,1.0,Kastanjelaan,5616,73.0,4.0,51.4392648,5.478633,7.313220387090301
62,2.0,1.0,Hoogstraat,5615,87.0,4.0,51.4392648,5.478633,8.160518247477505
63,2.0,1.0,Kruisstraat,5612,46.0,2.0,51.4392648,5.478633,7.313220387090301
64,2.0,1.0,Brucknerplein,5653,57.0,2.0,51.4392648,5.478633,7.824046010856292
65,2.0,1.0,Genovevalaan,5625,65.0,2.0,51.4392648,5.478633,7.600902459542082
66,2.0,3.0,deKlerklaan,5624,96.0,4.0,51.4392648,5.478633,8.160518247477505
67,2.0,1.0,Kastelenplein126,5653,46.0,2.0,51.4392648,5.478633,7.52294091807237
68,2.0,1.0,Zeelsterstraat,5652,20.0,2.0,51.4392648,5.478633,6.813444599510896
69,2.0,1.0,PastoorvanArsplein,5622,45.0,2.0,51.4392648,5.478633,7.313220387090301
70,2.0,1.0,Zernikestraat,5612,27.0,1.0,51.4392648,5.478633,7.313220387090301
71,2.0,1.0,VeldmaarschalkMontgomerylaan,5612,35.0,1.0,51.4392648,5.478633,6.620073206530356
72,2.0,1.0,Leenderweg,5643,26.0,1.0,51.4392648,5.478633,7.24422751560335
